Time:57:457  g:-1.857283
Time:57:478  g:-1.962854
Time:57:499  g:-1.994135
Time:57:520  g:-1.978495
Time:57:541  g:-1.935484
Time:57:562  g:-1.826002
Time:57:583  g:-1.665689
Time:57:604  g:-1.524927
Time:57:625  g:-1.282502
Time:57:646  g:-1.188661
Time:57:667  g:-1.047898
Time:57:688  g:-0.6803519
Time:57:709  g:-0.2385142
Time:57:730  g:0.1759531
Time:57:751  g:0.4770283
Time:57:772  g:0.7038123
Time:57:793  g:0.7702835
Time:57:814  g:0.7937439
Time:57:835  g:0.8719453
Time:57:856  g:0.9305963
Time:57:877  g:0.9032258
Time:57:898  g:0.8602151
Time:57:919  g:0.8289345
Time:57:940  g:0.856305
Time:57:961  g:0.8680352
Time:57:982  g:0.801564
Time:58:3  g:0.7077224
Time:58:24  g:0.4222874
Time:58:45  g:-0.1955034
Time:58:66  g:-0.742913
Time:58:87  g:-1.196481
Time:58:108  g:-1.532747
Time:58:129  g:-1.69306
Time:58:150  g:-1.751711
Time:58:171  g:-1.833822
Time:58:192  g:-1.935484
Time:58:213  g:-1.994135
Time:58:234  g:-1.998045
Time:58:255  g:-1.896383
Time:58:276  g:-1.70088
Time:58:297  g:-1.458456
Time:58:318  g:-1.196481
Time:58:339  g:-1.000978
Time:58:361  g:-0.8054741
Time:58:382  g:-0.5278592
Time:58:403  g:-0.2932551
Time:58:424  g:-0.06256109
Time:58:445  g:0.1603128
Time:58:466  g:0.3558162
Time:58:487  g:0.4535679
Time:58:508  g:0.5904203
Time:58:529  g:0.6490713
Time:58:550  g:0.6920821
Time:58:571  g:0.7272727
Time:58:592  g:0.7233627
Time:58:613  g:0.7272727
Time:58:634  g:0.742913
Time:58:655  g:0.7350929
Time:58:676  g:0.6686217
Time:58:697  g:0.4692082
Time:58:718  g:0.07038123
Time:58:739  g:-0.5317693
Time:58:760  g:-1.075269
Time:58:781  g:-1.419355
Time:58:802  g:-1.665689
Time:58:823  g:-1.72043
Time:58:844  g:-1.73216
Time:58:865  g:-1.786901
Time:58:886  g:-1.814272
Time:58:907  g:-1.822092
Time:58:928  g:-1.802541
Time:58:949  g:-1.833822
Time:58:970  g:-1.775171
Time:58:991  g:-1.673509
Time:59:12  g:-1.505376
Time:59:33  g:-1.294233
Time:59:54  g:-1.079179
Time:59:75  g:-0.7937439
Time:59:97  g:-0.4496579
Time:59:118  g:-0.1485826
Time:59:139  g:0.04301075
Time:59:160  g:0.1798632
Time:59:181  g:0.2502444
Time:59:202  g:0.3245357
Time:59:223  g:0.4535679
Time:59:244  g:0.6060606
Time:59:265  g:0.6451613
Time:59:286  g:0.6412512
Time:59:307  g:0.6256109
Time:59:328  g:0.6217009
Time:59:349  g:0.6021506
Time:59:370  g:0.5552297
Time:59:391  g:0.4652981
Time:59:412  g:0.340176
Time:59:433  g:0.1446725
Time:59:454  g:-0.1094819
Time:59:475  g:-0.4809384
Time:59:496  g:-0.8406647
Time:59:518  g:-1.16129
Time:59:539  g:-1.509286
Time:59:560  g:-1.896383
Time:59:581  g:-1.998045
Time:59:602  g:-1.998045
Time:59:623  g:-1.998045
Time:59:644  g:-1.951124
Time:59:665  g:-1.865103
Time:59:686  g:-1.810362
Time:59:707  g:-1.673509
Time:59:728  g:-1.458456
Time:59:749  g:-1.223851
Time:59:770  g:-0.911046
Time:59:791  g:-0.4496579
Time:59:812  g:0.08993158
Time:59:833  g:0.4731183
Time:59:854  g:0.6725318
Time:59:875  g:0.8875855
Time:59:896  g:0.8797654
Time:59:917  g:0.8406647
Time:59:938  g:0.8875855
Time:59:959  g:0.8797654
Time:59:980  g:0.8093842
Time:0:1  g:0.7350929
Time:0:22  g:0.7702835
Time:0:43  g:0.7702835
Time:0:64  g:0.8093842
Time:0:85  g:0.7233627
Time:0:106  g:0.4066471
Time:0:127  g:-0.1251222
Time:0:148  g:-0.7937439
Time:0:169  g:-1.223851
Time:0:190  g:-1.485826
Time:0:211  g:-1.73216
Time:0:232  g:-1.841642
Time:0:253  g:-1.853372
Time:0:274  g:-1.837732
Time:0:295  g:-1.794721
Time:0:316  g:-1.72043
Time:0:337  g:-1.638319
Time:0:358  g:-1.607038
Time:0:379  g:-1.579668
Time:0:400  g:-1.509286
Time:0:421  g:-1.313783
Time:0:442  g:-1.036168
Time:0:463  g:-0.7663734
Time:0:484  g:-0.4301075
Time:0:506  g:-0.04692082
Time:0:528  g:0.3284457
Time:0:550  g:0.5943304
Time:0:571  g:0.688172
Time:0:592  g:0.6959922
Time:0:613  g:0.7233627
Time:0:634  g:0.6959922
Time:0:656  g:0.6999022
Time:0:677  g:0.684262
Time:0:698  g:0.6764418
Time:0:719  g:0.688172
Time:0:740  g:0.7350929
Time:0:761  g:0.8132942
Time:0:782  g:0.8211144
Time:0:803  g:0.516129
Time:0:824  g:0.03519062
Time:0:845  g:-0.4613881
Time:0:866  g:-1.067449
Time:0:888  g:-1.567937
Time:0:909  g:-1.810362
Time:0:930  g:-1.876833
Time:0:952  g:-1.869013
Time:0:973  g:-1.880743
Time:0:994  g:-1.841642
Time:1:15  g:-1.767351
Time:1:36  g:-1.68915
Time:1:57  g:-1.610948
Time:1:78  g:-1.505376
Time:1:99  g:-1.372434
Time:1:120  g:-1.200391
Time:1:141  g:-1.032258
Time:1:162  g:-0.801564
Time:1:183  g:-0.4457478
Time:1:204  g:-0.02346041
Time:1:225  g:0.2776149
Time:1:246  g:0.4731183
Time:1:267  g:0.7038123
Time:1:288  g:0.801564
Time:1:309  g:0.8445748
Time:1:330  g:0.8954057
Time:1:351  g:0.8914956
Time:1:372  g:0.8328446
Time:1:393  g:0.7624633
Time:1:414  g:0.742913
Time:1:435  g:0.7507331
Time:1:456  g:0.7233627
Time:1:477  g:0.6373411
Time:1:498  g:0.285435
Time:1:519  g:-0.340176
Time:1:540  g:-0.8367546
Time:1:562  g:-1.15347
Time:1:583  g:-1.364614
Time:1:604  g:-1.532747
Time:1:625  g:-1.673509
Time:1:646  g:-1.790811
Time:1:667  g:-1.876833
Time:1:688  g:-1.896383
Time:1:709  g:-1.841642
Time:1:730  g:-1.71652
Time:1:751  g:-1.540567
Time:1:772  g:-1.395894
Time:1:793  g:-1.15347
Time:1:814  g:-1.059628
Time:1:835  g:-0.9032258
Time:1:856  g:-0.7116324
Time:1:877  g:-0.4535679
Time:1:898  g:-0.2228739
Time:1:919  g:-0.03128055
Time:1:940  g:0.1055719
Time:1:961  g:0.3049853
Time:1:982  g:0.4731183
Time:2:3  g:0.5865102
Time:2:24  g:0.6490713
Time:2:45  g:0.6803519
Time:2:66  g:0.6412512
Time:2:87  g:0.6177908
Time:2:108  g:0.5982405
Time:2:129  g:0.5278592
Time:2:150  g:0.4535679
Time:2:171  g:0.3206256
Time:2:192  g:0.1173021
Time:2:213  g:-0.1876833
Time:2:234  g:-0.5083089
Time:2:255  g:-0.9188661
Time:2:276  g:-1.239492
Time:2:297  g:-1.434995
Time:2:318  g:-1.610948
Time:2:339  g:-1.661779
Time:2:360  g:-1.72825
Time:2:381  g:-1.794721
Time:2:402  g:-1.892473
Time:2:423  g:-1.865103
Time:2:444  g:-1.743891
Time:2:465  g:-1.591398
Time:2:486  g:-1.462366
Time:2:507  g:-1.290323
Time:2:528  g:-1.290323
Time:2:549  g:-1.13783
Time:2:570  g:-0.8719453
